"","Channel 1 Last (C)","Channel 2 Last (C)","Channel 3 Last (C)","Channel 4 Last (C)"
"00:00:00","24.40","21.37","20.74","20.50"
"00:00:01","24.41","21.42","20.84","20.61"
"00:00:02","24.40","21.48","20.94","20.73"
"00:00:03","24.39","21.54","21.03","20.83"
"00:00:04","24.39","21.60","21.13","20.94"
"00:00:05","24.41","21.65","21.23","21.05"
"00:00:06","24.40","21.72","21.33","21.16"
"00:00:07","24.39","21.78","21.43","21.28"
"00:00:08","24.40","21.84","21.54","21.41"
"00:00:09","24.42","21.90","21.66","21.58"
"00:00:10","24.40","21.97","21.81","21.78"
"00:00:11","24.40","22.06","21.98","22.00"
"00:00:12","24.39","22.15","22.15","22.25"
"00:00:13","24.43","22.25","22.34","22.51"
"00:00:14","24.42","22.35","22.55","22.78"
"00:00:15","24.41","22.46","22.76","23.06"
"00:00:16","24.42","22.59","22.98","23.34"
"00:00:17","24.45","22.70","23.22","23.63"
"00:00:18","24.43","22.82","23.44","23.93"
"00:00:19","24.43","22.96","23.69","24.23"
"00:00:20","24.42","23.10","23.93","24.53"
"00:00:21","24.45","23.23","24.19","24.82"
"00:00:22","24.45","23.37","24.44","25.13"
"00:00:23","24.44","23.53","24.71","25.43"
"00:00:24","24.44","23.69","24.96","25.73"
"00:00:25","24.47","23.84","25.22","26.04"
"00:00:26","24.45","23.99","25.49","26.34"
"00:00:27","24.45","24.16","25.76","26.65"
"00:00:28","24.45","24.32","26.03","26.96"
"00:00:29","24.48","24.48","26.31","27.27"
"00:00:30","24.48","24.64","26.58","27.57"
"00:00:31","24.47","24.80","26.85","27.88"
"00:00:32","24.47","24.97","27.12","28.18"
"00:00:33","24.50","25.14","27.40","28.48"
"00:00:34","24.50","25.30","27.68","28.78"
"00:00:35","24.50","25.48","27.96","29.08"
"00:00:36","24.50","25.66","28.24","29.38"
"00:00:37","24.53","25.82","28.51","29.67"
"00:00:38","24.52","25.98","28.78","29.96"
"00:00:39","24.52","26.16","29.05","30.24"
"00:00:40","24.52","26.33","29.31","30.52"
"00:00:41","24.56","26.51","29.58","30.80"
"00:00:42","24.56","26.66","29.84","31.08"
"00:00:43","24.55","26.83","30.11","31.35"
"00:00:44","24.55","27.01","30.36","31.63"
"00:00:45","24.57","27.17","30.62","31.89"
"00:00:46","24.59","27.34","30.87","32.16"
"00:00:47","24.58","27.51","31.13","32.43"
"00:00:48","24.58","27.68","31.38","32.71"
"00:00:49","24.60","27.85","31.64","32.97"
"00:00:50","24.62","28.00","31.88","33.23"
"00:00:51","24.60","28.16","32.12","33.49"
"00:00:52","24.61","28.33","32.37","33.74"
"00:00:53","24.63","28.50","32.61","33.99"
"00:00:54","24.64","28.65","32.84","34.24"
"00:00:55","24.64","28.82","33.09","34.49"
"00:00:56","24.65","28.98","33.33","34.74"
"00:00:57","24.66","29.14","33.55","34.97"
"00:00:58","24.68","29.29","33.77","35.20"
"00:00:59","24.67","29.44","33.99","35.42"
"00:01:00","24.67","29.59","34.21","35.65"
"00:01:01","24.68","29.74","34.42","35.87"
"00:01:02","24.71","29.89","34.64","36.10"
"00:01:03","24.70","30.05","34.86","36.32"
"00:01:04","24.70","30.20","35.07","36.54"
"00:01:05","24.71","30.35","35.28","36.76"
"00:01:06","24.73","30.48","35.49","36.97"
"00:01:07","24.73","30.63","35.70","37.18"
"00:01:08","24.73","30.78","35.90","37.40"
"00:01:09","24.75","30.92","36.11","37.62"
"00:01:10","24.77","31.06","36.32","37.84"
"00:01:11","24.76","31.19","36.53","38.08"
"00:01:12","24.76","31.34","36.74","38.31"
"00:01:13","24.78","31.49","36.96","38.55"
"00:01:14","24.79","31.63","37.17","38.80"
"00:01:15","24.79","31.78","37.40","39.05"
"00:01:16","24.78","31.92","37.62","39.30"
"00:01:17","24.80","32.08","37.84","39.55"
"00:01:18","24.83","32.23","38.07","39.79"
"00:01:19","24.82","32.38","38.30","40.05"
"00:01:20","24.82","32.53","38.52","40.30"
"00:01:21","24.83","32.70","38.75","40.54"
"00:01:22","24.87","32.84","38.97","40.78"
"00:01:23","24.85","32.99","39.20","41.01"
"00:01:24","24.86","33.14","39.41","41.25"
"00:01:25","24.86","33.30","39.62","41.48"
"00:01:26","24.89","33.44","39.83","41.71"
"00:01:27","24.88","33.59","40.05","41.94"
"00:01:28","24.88","33.74","40.27","42.16"
"00:01:29","24.88","33.89","40.47","42.39"
"00:01:30","24.93","34.04","40.69","42.62"
"00:01:31","24.92","34.19","40.89","42.84"
"00:01:32","24.91","34.33","41.09","43.05"
"00:01:33","24.91","34.48","41.29","43.26"
"00:01:34","24.94","34.62","41.49","43.48"
"00:01:35","24.94","34.76","41.69","43.68"
"00:01:36","24.94","34.91","41.88","43.89"
"00:01:37","24.94","35.06","42.08","44.09"
"00:01:38","24.97","35.20","42.27","44.30"
"00:01:39","24.99","35.34","42.45","44.50"
"00:01:40","24.97","35.48","42.64","44.70"
"00:01:41","24.97","35.62","42.83","44.89"
"00:01:42","25.00","35.76","43.02","45.09"
"00:01:43","25.01","35.89","43.20","45.28"
"00:01:44","25.01","36.03","43.38","45.48"
"00:01:45","25.01","36.17","43.57","45.67"
"00:01:46","25.02","36.31","43.75","45.87"
"00:01:47","25.06","36.44","43.93","46.05"
"00:01:48","25.04","36.57","44.10","46.23"
"00:01:49","25.04","36.70","44.27","46.41"
"00:01:50","25.04","36.83","44.43","46.58"
"00:01:51","25.08","36.95","44.60","46.75"
"00:01:52","25.07","37.07","44.77","46.92"
"00:01:53","25.07","37.21","44.93","47.09"
"00:01:54","25.07","37.34","45.09","47.25"
"00:01:55","25.10","37.46","45.24","47.41"
"00:01:56","25.11","37.57","45.41","47.57"
"00:01:57","25.10","37.70","45.56","47.73"
"00:01:58","25.09","37.81","45.71","47.88"
"00:01:59","25.11","37.93","45.86","48.04"
"00:02:00","25.15","38.05","46.01","48.20"
"00:02:01","25.13","38.16","46.17","48.35"
"00:02:02","25.13","38.28","46.31","48.51"
"00:02:03","25.13","38.40","46.47","48.66"
"00:02:04","25.17","38.51","46.62","48.81"
"00:02:05","25.16","38.62","46.75","48.95"
"00:02:06","25.15","38.73","46.90","49.10"
"00:02:07","25.16","38.84","47.03","49.24"
"00:02:08","25.19","38.95","47.17","49.38"
"00:02:09","25.21","39.06","47.31","49.54"
"00:02:10","25.19","39.17","47.46","49.71"
"00:02:11","25.19","39.28","47.61","49.88"
"00:02:12","25.21","39.39","47.76","50.05"
"00:02:13","25.23","39.50","47.92","50.23"
"00:02:14","25.23","39.62","48.07","50.42"
"00:02:15","25.22","39.73","48.23","50.60"
"00:02:16","25.24","39.85","48.40","50.79"
"00:02:17","25.26","39.96","48.55","50.98"
"00:02:18","25.24","40.08","48.72","51.16"
"00:02:19","25.24","40.19","48.88","51.35"
"00:02:20","25.25","40.32","49.05","51.54"
"00:02:21","25.28","40.44","49.22","51.74"
"00:02:22","25.29","40.56","49.39","51.92"
"00:02:23","25.27","40.68","49.57","52.12"
"00:02:24","25.28","40.80","49.74","52.32"
"00:02:25","25.30","40.93","49.91","52.51"
"00:02:26","25.31","41.04","50.07","52.70"
"00:02:27","25.30","41.16","50.25","52.88"
"00:02:28","25.30","41.29","50.42","53.06"
"00:02:29","25.31","41.41","50.59","53.24"
"00:02:30","25.34","41.53","50.75","53.44"
"00:02:31","25.32","41.65","50.92","53.61"
"00:02:32","25.32","41.77","51.09","53.79"
"00:02:33","25.32","41.89","51.25","53.97"
"00:02:34","25.35","42.01","51.41","54.15"
"00:02:35","25.35","42.13","51.58","54.32"
"00:02:36","25.35","42.25","51.74","54.49"
"00:02:37","25.34","42.37","51.90","54.66"
"00:02:38","25.38","42.50","52.06","54.83"
"00:02:39","25.38","42.61","52.22","55.00"
"00:02:40","25.37","42.74","52.38","55.17"
"00:02:41","25.38","42.85","52.53","55.33"
"00:02:42","25.39","42.97","52.69","55.50"
"00:02:43","25.41","43.08","52.84","55.66"
"00:02:44","25.40","43.20","53.00","55.82"
"00:02:45","25.41","43.32","53.15","55.98"
"00:02:46","25.42","43.43","53.29","56.14"
"00:02:47","25.45","43.55","53.44","56.30"
"00:02:48","25.44","43.66","53.57","56.45"
"00:02:49","25.44","43.78","53.71","56.60"
"00:02:50","25.44","43.89","53.85","56.74"
"00:02:51","25.48","44.00","53.98","56.88"
"00:02:52","25.47","44.10","54.11","57.01"
"00:02:53","25.46","44.20","54.24","57.15"
"00:02:54","25.45","44.31","54.37","57.28"
"00:02:55","25.47","44.41","54.49","57.41"
"00:02:56","25.50","44.52","54.63","57.55"
"00:02:57","25.48","44.62","54.75","57.68"
"00:02:58","25.48","44.74","54.88","57.82"
"00:02:59","25.50","44.84","55.01","57.96"
"00:03:00","25.54","44.94","55.15","58.09"
"00:03:01","25.52","45.04","55.26","58.21"
"00:03:02","25.52","45.14","55.37","58.33"
"00:03:03","25.52","45.24","55.49","58.45"
"00:03:04","25.55","45.34","55.60","58.55"
"00:03:05","25.54","45.43","55.71","58.68"
"00:03:06","25.55","45.53","55.82","58.78"
"00:03:07","25.55","45.62","55.93","58.90"
"00:03:08","25.58","45.72","56.04","59.01"
"00:03:09","25.58","45.80","56.15","59.13"
"00:03:10","25.57","45.90","56.27","59.27"
"00:03:11","25.57","46.00","56.40","59.42"
"00:03:12","25.58","46.09","56.53","59.58"
"00:03:13","25.62","46.19","56.65","59.74"
"00:03:14","25.60","46.29","56.78","59.90"
"00:03:15","25.60","46.39","56.90","60.05"
"00:03:16","25.60","46.49","57.03","60.22"
"00:03:17","25.63","46.59","57.17","60.38"
"00:03:18","25.62","46.70","57.31","60.56"
"00:03:19","25.62","46.81","57.46","60.73"
"00:03:20","25.62","46.92","57.61","60.92"
"00:03:21","25.66","47.03","57.76","61.09"
"00:03:22","25.66","47.13","57.90","61.27"
"00:03:23","25.64","47.25","58.07","61.45"
"00:03:24","25.65","47.37","58.23","61.63"
"00:03:25","25.66","47.47","58.38","61.81"
"00:03:26","25.69","47.58","58.54","62.00"
"00:03:27","25.67","47.71","58.70","62.18"
"00:03:28","25.67","47.82","58.85","62.34"
"00:03:29","25.68","47.93","59.00","62.52"
"00:03:30","25.71","48.05","59.16","62.70"
"00:03:31","25.70","48.16","59.32","62.87"
"00:03:32","25.69","48.28","59.47","63.04"
"00:03:33","25.69","48.39","59.62","63.20"
"00:03:34","25.72","48.50","59.77","63.38"
"00:03:35","25.72","48.62","59.93","63.55"
"00:03:36","25.72","48.74","60.09","63.72"
"00:03:37","25.72","48.87","60.24","63.89"
"00:03:38","25.75","48.98","60.40","64.04"
"00:03:39","25.76","49.09","60.55","64.20"
"00:03:40","25.74","49.20","60.69","64.36"
"00:03:41","25.75","49.32","60.85","64.51"
"00:03:42","25.77","49.44","61.00","64.67"
"00:03:43","25.80","49.55","61.15","64.82"
"00:03:44","25.78","49.66","61.29","64.97"
"00:03:45","25.78","49.77","61.44","65.12"
"00:03:46","25.78","49.88","61.57","65.28"
"00:03:47","25.81","49.99","61.72","65.42"
"00:03:48","25.80","50.10","61.87","65.58"
"00:03:49","25.81","50.21","62.01","65.73"
"00:03:50","25.81","50.32","62.14","65.87"
"00:03:51","25.83","50.41","62.27","66.01"
"00:03:52","25.83","50.52","62.41","66.15"
"00:03:53","25.82","50.63","62.53","66.28"
"00:03:54","25.83","50.74","62.65","66.42"
"00:03:55","25.84","50.84","62.77","66.55"
"00:03:56","25.86","50.93","62.89","66.68"
"00:03:57","25.85","51.03","63.01","66.82"
"00:03:58","25.85","51.14","63.13","66.95"
"00:03:59","25.86","51.24","63.26","67.08"
"00:04:00","25.89","51.33","63.38","67.20"
"00:04:01","25.88","51.44","63.50","67.33"
"00:04:02","25.86","51.53","63.61","67.44"
"00:04:03","25.87","51.63","63.70","67.50"
"00:04:04","25.91","51.72","63.77","67.51"
"00:04:05","25.91","51.79","63.80","67.47"
"00:04:06","25.90","51.86","63.80","67.40"
"00:04:07","25.90","51.91","63.79","67.30"
"00:04:08","25.93","51.96","63.74","67.14"
"00:04:09","25.94","51.97","63.65","66.91"
"00:04:10","25.93","51.98","63.53","66.64"
"00:04:11","25.92","51.98","63.37","66.29"
"00:04:12","25.93","51.94","63.16","65.89"
"00:04:13","25.96","51.88","62.92","65.47"
"00:04:14","25.94","51.81","62.65","65.00"
"00:04:15","25.94","51.72","62.36","64.52"
"00:04:16","25.93","51.61","62.03","64.02"
"00:04:17","25.97","51.49","61.68","63.50"
"00:04:18","25.96","51.34","61.32","62.97"
"00:04:19","25.95","51.19","60.93","62.41"
"00:04:20","25.94","51.03","60.53","61.87"
"00:04:21","25.97","50.85","60.12","61.31"
"00:04:22","25.98","50.66","59.70","60.76"
"00:04:23","25.96","50.46","59.27","60.19"
"00:04:24","25.95","50.25","58.83","59.63"
"00:04:25","25.96","50.03","58.38","59.06"
"00:04:26","25.98","49.79","57.93","58.50"
"00:04:27","25.97","49.56","57.48","57.95"
"00:04:28","25.96","49.32","57.02","57.40"
"00:04:29","25.97","49.07","56.55","56.84"
"00:04:30","25.99","48.81","56.09","56.30"
"00:04:31","25.96","48.55","55.61","55.75"
"00:04:32","25.95","48.29","55.15","55.22"
"00:04:33","25.95","48.03","54.67","54.68"
"00:04:34","25.97","47.75","54.21","54.15"
"00:04:35","25.96","47.47","53.74","53.63"
"00:04:36","25.94","47.20","53.28","53.11"
"00:04:37","25.93","46.93","52.82","52.60"
"00:04:38","25.94","46.65","52.37","52.10"
"00:04:39","25.95","46.37","51.92","51.59"
"00:04:40","25.92","46.09","51.47","51.10"
"00:04:41","25.91","45.81","51.03","50.62"
"00:04:42","25.92","45.53","50.59","50.13"
"00:04:43","25.93","45.24","50.16","49.65"
"00:04:44","25.90","44.96","49.73","49.19"
"00:04:45","25.89","44.68","49.30","48.73"
"00:04:46","25.87","44.40","48.88","48.28"
"00:04:47","25.90","44.12","48.47","47.82"
"00:04:48","25.88","43.83","48.05","47.39"
"00:04:49","25.85","43.56","47.64","46.95"
"00:04:50","25.84","43.29","47.24","46.52"
"00:04:51","25.86","43.01","46.84","46.10"
"00:04:52","25.85","42.73","46.44","45.69"
"00:04:53","25.82","42.46","46.05","45.28"
"00:04:54","25.81","42.19","45.67","44.88"
"00:04:55","25.82","41.92","45.28","44.48"
"00:04:56","25.83","41.64","44.90","44.09"
"00:04:57","25.80","41.38","44.52","43.70"
"00:04:58","25.78","41.11","44.15","43.32"
"00:04:59","25.77","40.85","43.79","42.94"
"00:05:00","25.79","40.59","43.43","42.57"
"00:05:01","25.76","40.33","43.09","42.21"
"00:05:02","25.74","40.08","42.74","41.85"
"00:05:03","25.73","39.83","42.40","41.50"
"00:05:04","25.76","39.58","42.06","41.16"
"00:05:05","25.76","39.33","41.73","40.81"
"00:05:06","25.72","39.07","41.39","40.48"
"00:05:07","25.70","38.83","41.07","40.13"
"00:05:08","25.70","38.58","40.74","39.81"
"00:05:09","25.71","38.34","40.42","39.48"
"00:05:10","25.68","38.10","40.11","39.16"
"00:05:11","25.66","37.87","39.80","38.84"
"00:05:12","25.67","37.64","39.50","38.53"
"00:05:13","25.69","37.40","39.20","38.23"
"00:05:14","25.65","37.17","38.90","37.93"
"00:05:15","25.63","36.95","38.60","37.63"
"00:05:16","25.61","36.73","38.32","37.33"
"00:05:17","25.64","36.50","38.03","37.04"
"00:05:18","25.61","36.28","37.74","36.76"
"00:05:19","25.59","36.07","37.47","36.47"
"00:05:20","25.58","35.86","37.19","36.21"
"00:05:21","25.60","35.65","36.93","35.93"
"00:05:22","25.59","35.43","36.66","35.66"
"00:05:23","25.56","35.23","36.40","35.40"
"00:05:24","25.54","35.03","36.14","35.14"
"00:05:25","25.54","34.83","35.88","34.89"
"00:05:26","25.57","34.63","35.63","34.64"
"00:05:27","25.53","34.44","35.39","34.39"
"00:05:28","25.51","34.25","35.13","34.15"
"00:05:29","25.50","34.05","34.89","33.91"
"00:05:30","25.52","33.85","34.64","33.66"
"00:05:31","25.48","33.66","34.41","33.42"
"00:05:32","25.47","33.49","34.17","33.20"
"00:05:33","25.46","33.31","33.95","32.97"
"00:05:34","25.48","33.13","33.73","32.75"
"00:05:35","25.45","32.96","33.51","32.53"
"00:05:36","25.44","32.79","33.29","32.32"
"00:05:37","25.43","32.61","33.08","32.10"
"00:05:38","25.46","32.45","32.87","31.90"
"00:05:39","25.43","32.28","32.67","31.70"
"00:05:40","25.41","32.12","32.46","31.49"
"00:05:41","25.40","31.96","32.26","31.29"
"00:05:42","25.42","31.79","32.06","31.09"
"00:05:43","25.39","31.63","31.87","30.90"
"00:05:44","25.37","31.48","31.68","30.72"
"00:05:45","25.37","31.34","31.49","30.52"
"00:05:46","25.39","31.18","31.31","30.35"
"00:05:47","25.37","31.03","31.12","30.16"
"00:05:48","25.36","30.89","30.94","29.99"
"00:05:49","25.34","30.76","30.77","29.81"
"00:05:50","25.37","30.60","30.59","29.64"
"00:05:51","25.34","30.47","30.42","29.46"
"00:05:52","25.32","30.33","30.25","29.29"
"00:05:53","25.31","30.19","30.08","29.13"
"00:05:54","25.33","30.06","29.92","28.97"
"00:05:55","25.31","29.92","29.76","28.80"
"00:05:56","25.30","29.80","29.60","28.66"
"00:05:57","25.28","29.67","29.45","28.50"
"00:05:58","25.31","29.54","29.29","28.34"
"00:05:59","25.30","29.41","29.14","28.20"
"00:06:00","25.27","29.30","28.99","28.05"
"00:06:01","25.26","29.17","28.84","27.91"
"00:06:02","25.27","29.06","28.70","27.77"
"00:06:03","25.27","28.94","28.56","27.64"
"00:06:04","25.25","28.82","28.42","27.49"
"00:06:05","25.24","28.71","28.28","27.35"
"00:06:06","25.24","28.60","28.14","27.22"
"00:06:07","25.25","28.49","28.02","27.10"
"00:06:08","25.23","28.38","27.89","26.96"
"00:06:09","25.22","28.28","27.76","26.84"
"00:06:10","25.22","28.17","27.64","26.72"
"00:06:11","25.23","28.07","27.51","26.60"
"00:06:12","25.21","27.97","27.39","26.49"
"00:06:13","25.20","27.88","27.28","26.37"
"00:06:14","25.20","27.77","27.15","26.25"
"00:06:15","25.21","27.67","27.04","26.13"
"00:06:16","25.19","27.58","26.92","26.02"
"00:06:17","25.18","27.50","26.81","25.92"
"00:06:18","25.19","27.40","26.71","25.81"
"00:06:19","25.20","27.31","26.60","25.70"
"00:06:20","25.18","27.23","26.49","25.60"
"00:06:21","25.16","27.14","26.38","25.49"
"00:06:22","25.17","27.05","26.28","25.39"
"00:06:23","25.18","26.96","26.18","25.29"
